"orgname","codedef01","mission"
"PARADISE MOVES INC ","Arts, Culture, and Humanities","The mission of ParadiseMoves is to share stories through movement that inspire conversation. We aim to make dance accessible and inclusive. We share stories that encourage conversations about social justice, that amplify voices that need to be heard."
"TONALITY ","Arts, Culture, and Humanities","Tonality is a professional choral ensemble focused on presenting concerts that focus on diversity, unity, and social justice."
"SWAG FOUNDATION ","Arts, Culture, and Humanities","SWAG FOUNDATION supports and operates a vocal ensemble comprised of 20-30 singers, singing gospel, rhythm and blues, hip-hop, and traditional choral music genres. The group is focusing on outreach to under-served and minority communities."
"CHORAL AUDACITY ","Arts, Culture, and Humanities","A community choir advocating for diversity and inclusion of singers and repertoire."
"BLACKHAWK BAND BOOSTERS ","Arts, Culture, and Humanities","The objective of the Blackhawk Band Boosters is to support the Band in cooperation with the band directors and school authorities. This Organization does not intend to interfere with student placement, disciplinary action, musical training, dates of"
"DURWARD ENSEMBLE ","Arts, Culture, and Humanities","Chamber ensemble that promotes the diversity of contemporary music to a broad audience through performances of rarely performed works and commissioning new works by living composers. Educate young musicians and potential composers."
"BLACKFOOT FIREFIGHTERS PIPES AND DRUMS INC","Arts, Culture, and Humanities","THE PURPOSE OF THE BLACKFOOT FIREFIGHTERS PIPES AND DRUMS INC IS TO ESTABLISH AND MAINTAIN A FUNCTIONING FIRE SERVICES PIPES AND DRUMS BAND AS A COMPONENT OF THE BLACKFOOT FIRE DEPARTMENT PROVIDING SERVICES AT FUNERALS AND PARADES."
"URBAN STRINGS COLUMBUS ","Arts, Culture, and Humanities","To generate and recruit young African American and minority string musicians, especially those from underserved and marginalized communities. The goal is to expose and teach the youth all genres of music that can be played on their string instruments"
"PHOENIX HISPANIC NETWORK ","Arts, Culture, and Humanities","1. Providing educational and professional development opportunities and scholarships for Hispanic students and governmental employees.2. Promoting diversity, inclusion and multicultural awareness for Hispanic governmental employees."
"THE ONE CLUB MIAMI INC ","Arts, Culture, and Humanities","The One Club for Creativity Miami's chapter is one of the many US city chapters; built on four core strengths: education, inclussion and diversity, professional development and awards. TOC supports and inspires the creative thinker community."
