"orgname","codedef01","mission"
"BCEN ","Educational Institutions","We hold events where anyone in community to puts together presentations to share knowledge to teach tech topics.  We create opportunities for larger events for inclusion of under-educated, women and minorities to participate in fields like technology"
"FONDATION ADAM CESAR INC ","Educational Institutions","provides education to minority children"
"APP YOUNIVERSITY ","Educational Institutions","APP YOUniversity in a nonProfit Technology program designed to teach our underserved/undereducated black and minority youth how top code Mobile apps and robotics. The program also mentors the black youth to become Creators in Technology and the world"
"THE BREAKFAST PROJECT ","Educational Institutions","The Breakfast Project is a non-profit culinary arts program serving the students of Harvey Milk Civil Rights Academy, a public elementary school in the heart of the Castro District in San Francisco."
"SVGS FOUNDATION ","Educational Institutions","To provide scholarships to deserving and committed male high school students that have signed a letter of intent to attend Historically Black Colleges and Universities"
"LEADERS AND ADOLESCENTS UNITING TO NAVIGATE CAREERS IN HEALTHCARE","Youth Development","LAUNCH is organized for charitable & educational purposes within the meaning of Section 501(c)(3). The specific purpose and objectives of LAUNCH shall include: educate youth on various healthcare careers & increase diversity throughout healthcare."
"THE AFRICAN ROSE FOUNDATION ","Youth Development","The African Rose Foundation will empower African American children, teens, and adolescents by educating them on self-identity, psychological processes, self-motivation, empowerment, spirituality, Christianity and cultural identity."
"MINORITY GAME CHANGERS ","Youth Development","The organization provides immersive activities and exposure programs that accelerate young talent in minority communities to achieve their potential."
"SOCIAL ENDEAVHERS INC ","Youth Development","The goal of Social EndeavHERs is to equip girls from underserved, minority communities with opportunities to create social change in their communities through science, technology, engineering, and mathematics (STEM)."
"MARLEY SIMMS FOUNDATION ","Youth Development","We provide fun activities for children that are centered on reading initiatives. We want to encourage children, especially minority and impoverished children, to read by offering classes, activities, incentives and a safe environment to read."
"THE DESTINY PROJECT INC ","Youth Development","The Mission of the Destiny Project, Inc is to empower and educate minority girls age 7-17 from all walks of life to become all that they were predestined to be.  They will be educationally and culturally exposed to life skills developmental programs."
"SEE YOU AT THE TOP INC ","Youth Development","SYATT introduces inner-city and minority children to various sporting activities to foster teamwork, leadership development, confidence, and camaraderie. It also provides cultural experiences while cultivating community involvement to these children."
"LEADERS AND ADOLESCENTS UNITING TONAVIGATE CAREERS IN HEALTHCARE","Youth Development","LAUNCH is organized for charitable & educational purposes within the meaning of Section 501(c)(3). The specific purpose and objectives of LAUNCH shall include: educate youth on various healthcare careers & increase diversity throughout healthcare."
"MEMPHIS JAYHAWKS ELITE INC ","Youth Development","TO EMPOWER YOUNG PEOPLE THROUGH EDUCATION, SPORTS AND ACADEMIC SUCCESS TO IMPACT THERE LIVES AS PRODUCTIVE THRIVING CITIZENS. THIS IS DONE THROUGH A PROCESS OF EMPOWERMENT, INCLUSION AND GIVING BACK TO THE COMMUNITY THEY LIVE IN."
"THE WAGGONER FOUNDATION ","Youth Development","The Waggoner Foundation is a non-profit charitable organization that provides opportunities to at-risk, low socioeconomic, and minority youth to help develop their potential and grow into healthy, educated, responsible, and productive adults."
"THE FINANCIAL SHACK INC ","Youth Development","The Financial Shack Inc. is a mentorship and youth diversion program that serves youth, minority, and low-income populations.  We educate our participants in accounting, finance, and technology."
"BLACK GIRL BEYOUTIFUL ","Youth Development","Black Girl BeYOUtiful aims to teach young girls ages 6-21 about  self-love and the beauty they  possess inside. Through weekly workshops, service learning projects, and a mentorship program."
"THE ROBERT G GILL SR FOUNDATION DBATHE GILL FOUNDATION","Youth Development","The Robert G Gill Sr Foundation dba The Gill Foundation is a Texas nonprofit helping at-risk African American communities rise up."
"EVERYTHINGMATH ","Youth Development","This NonProfit Corporation is formed exclusively for charitable purposes. It will be operated exclusively for the purpose of creating pathways for underprivileged and minority students to enter STEM careers by offering free math enrichment programs."
"BOUNDLESS ATHLETICS INC ","Youth Development","To facilitate integrative sports camps where special needs children will be aged and/or ability matched with a typically developing child/adolescent, in order to create an environment of inclusion and fun that carries into schools and communities."
"IN MY SHOES ","Youth Development","The mission of the organization is to improve college and career outcomes of students from underrepresented communities.  (minority, women, rural, low-income, first-generation college students)"
"SAVE BLACK BOYS OKC INCORPORATED ","Youth Development","The purpose of Save Black Boys OKC Incorporated is to provide mentoring, life skills, and other resources to black youth and men in Oklahoma."
"STATEMENT JUNKY INC ","Youth Development","An organization formed to gifting young minority women ages 13 - 20 with their first passport."
"PROGRESS PUSHERS ","Youth Development","TO ACTIVELY HELP, GUIDE, EDUCATE, AND PROVIDE NEEDED OPPORTUNITIES FROM BLACK AND BROWN YOUTH THAT ARE MOST IMPACTED BY SOCIETAL SYSTEMS TO LIVE IN THEIR GREATNESS."
"RISING GENTS INC ","Youth Development","OUR MISSION IS TO ENABLE AND EMPOWER YOUNG MEN TO ACHIEVE THEIR HIGHEST HUMAN POTENTIAL AND SECURE ECONOMIC SELF RELIANCE, PARITY, POWER AND CIVIL RIGHTS. WE WILL SERVE AS ROLE MODELS FOR OUR YOUTH. WE WILL GIVE OUR TIME, TALENT AND RESOURCES."
"DICE SUMMER CAMP INC ","Youth Development","Our mission is to empower individuals with special needs ages 5-18 in therapeutic based, age appropriate, community and recreational programs. While promoting inclusion and creating lasting relationships."
"TRI-CITIES SOUTH SUDANESE COMMUNITYASSOCIATION","Youth Development","Our mission is to empower South Sudanese community in the surrounding areas by advocating for education, cultural diversity and assimilation into the United States of America culture while preserving South Sudanese cultural heritage."
"NATIONAL BLACK GRADS INC ","Youth Development","To promote the pursuit of education, particularly among African American students throughout the nation.  To improve the graduation rates for African American students through the development and use of support services and inspirational methods."
"WEST MEMPHIS-MARION ACHIEVEMENT FOUNDATION","Youth Development","The West Memphis-Marion Achv. Fdn. purpose is to foster the development and advancement of disadvantaged and minority youth in Eastern Arkansas through guidance with the expectation of producing future professional, business and community leaders."
"BRITTANY STARKS OSWELL FOUNDATION INC","Youth Development","Our mission is to provide positive youth development and mentoring activities in order to encourage minority students to go into nursing and STEM related careers."
"SEE OURSELVES ","Youth Development","SEE Ourselves is a non-profit organization tasked to expose minority youth of color to higher education opportunities and academic advancement. The organization will achieve this through by exposing underrepresented minorities to careers in academics"
"ISEEMYSELF ","Youth Development","Our mission is to expose minority students to tools that sustain personal and financial wealth by highlighting young professionals, their lifestyles and careers."
"SPEAK ","Youth Development","The mission of SPEAK is to provide a platform for leadership development among youth ages 10-24. SPEAK will use experiential learning activities to engage youth on issues that involve social justice, community outreach, and learning through arts."
"GNZBC YOUTH EMPOWERMENT ","Youth Development","The mission of the GNZBC Youth Empowerment Organization is to council, motivate, empower, and enhance the cultural diversity of the youth through programs designed to provide exposure to through weekly counseling sessions, field trips, etc."
"GLOBAL ETIQUETTE ","Youth Development","To develop socially intelligent youth leaders who will protect our republic and embrace a future of inclusion and civility."
"TAIT HENDRIX FOUNDATION ","Youth Development","to provide opportunities for youth to develop leadership and team building through events designed to challenge them physically, mentally and spiritually with emphasis on diversity and equality of each person and betterment of communality as a whole"
"100 BLACK MEN OF AKRON INC ","Youth Development","TO SERVE THE COMMUNITY To assemble and motivate Black Men in the Greater Akron, OH.  Metropolitan and immediate surrounding areas to: Provide charitable and community-based services to the various communities of its membership as to foster, develop,"
"WESTCHESTER REGION ACT-SO COALITIONINC","Youth Development","Our mission is to recruit, stimulate, improve and encourage high academic and cultural achievement among minority high school students who are underserved. We are a yearlong youth achievement enrichment program."
"VISION OF FLIGHT ","Youth Development","Youth awareness and development towards the myriad careers in STEM education studies specific to aviation and aerospace.Encouraging diversity and inclusion towards highly in demand career fields in aviation and aerospace."
"INSPIRING YOUTH THROUGH COLLEGE EXPOSURE INC","Youth Development","To provide low-income and minority students with college exposure opportunities, college preperatory activities and STEM (Science, Technology, Engineeringg and Mathematics) exposure."
"THE PRIME ORG -POSITIVE ROLE-MODELSINSPIRING MENTORING   EMPOWERING","Youth Development","Our mission is to provide positive role models who can inspire, mentor, and empower minority youth to succeed academically and socially. We accomplish our mission by providing mentoring and programming for youth in the greater KC area"
"EAST BROOKLYN COMMUNITY ","Youth Development","To increase inner city communities diversity acceptance through athletics, community service, and cultural affairs."
"BAMBI FILMS INC ","Youth Development","Bambi Films Inc. aims to help individuals and communities from all races and ethnicities by bringing awareness of the deep truth all humans carry within them and develop a mind-set that is based on acceptance, unconditional love and social justice."
"TRI-COUNTY BLACK & GOLD ","Youth Development","Tri-County Black & Gold purpose is to provide financial support and resources to assist in promoting the educational and athletic programs to the youth in our community."
"RESTORED LIFE RENEWED FAITH MINISTRIES INCORPORATED","Youth Development","Activities include after school programs , reentry, coaching/mentoring, summer camps and sports programs. We will develop faith and evidenced based intervention activities and programs that provides support to young minority males based on research."
"HADI INITIATIVE ","Youth Development","Our mission is to help  promote diversity on college campuses by supporting campus programming and by empowering individual students."
"BETTER DAYS COMMUNITY HEALING CENTER AND CAFE","Youth Development","To provide free high quality afterschool liberal arts workshops, social skills and living skills training, academic tutoring and summer camps to youth minority girls and girls in foster care ."
"VOICE OF EQUALITY ","Youth Development","Mission Statement: To promote understand and acceptance of  diversity through the youth.We aim to create a core group of diverse students to conduct pro-diversity assemblies and workshops with groups of children that fall within the elementary range."
"YES TO THE BOOK INC ","Youth Development","We are an oral language and literacy subscription book box focused on the development of strong literacy habits for Black children (birth to 2nd grade) and empowering families and communities with resources to support and advocate for young readers."
"JOSHUA M WEINER FOUNDATION INC ","Youth Development","Helping preteen and teenage children regardless of financial need to participate in youth sports and mentoring programs by raising and distributing funds to support organizations providing such programs in their efforts to broaden inclusion"
"BLACK BOYS MATTER INCORPORATED ","Youth Development","Black Boys Matter mission is to uplift black male inner city youth  through self reflective art, education,and  mentor-ship.  We will also assist families with school, school supplies, food and clothing drives and other relief as deemed necessary."
"THE SANDERS HAND ","Youth Development","An organization formed to increase empowerment, diversity, change, and innovation. Through our three program areas; education, community, music and arts. Targeting underprivileged youth in the 3rd to 10th grade."
"GOLDEN GATE MOVEMENT ","Youth Development","The Golden Gate Movement is a series of prosocial school clubs and initiatives that are designed to provide a place of inclusion for students who feel alone."
"CREWSADERS 4 LIFE FOUNDATION INC ","Youth Development","Our mission is to transform the lives of individuals by providing training and education that promotes self esteem, self awareness, cultural diversity, team building, self sufficiency and team work."
"TEEN CHINESE CULTURE CLUB CORP ","Youth Development","The specific objective shall be to ensure the development of young people in achieving their full physical, intellectual, social and spiritual potential; to promote cultural inclusion and diversity by sharing traditions of Chinese culture."
"RISE UP FOR HOPE INC ","Youth Development","To develop young men and women with creative minds, sense of understanding and compassion for others, believing that given the opportunity young urban African American and Latino boys and girls will be able to achieve their dreams."
"IMAGINATION LEADS ","Youth Development","Imagination Leads promotes cultural and literary experiences in the African American community and provides leadership development programs for young black women."
"MAX OPUS  ROUND ","Youth Development","Formed to provide literacy and arts education for minority youths. Our first initiative is an intensive reading intervention program for 4th 5th-grade male struggling readers. Our second initiative is visual and theater arts."
"OMEGA GENTS FOUNDATION INC ","Youth Development","MENTOR YOUNG MEN IN MIDDLE AND HIGH SCHOOL: TEACH THEM TO BECOME MEN; INCREASE NUMBER OF COLLEGE BOUND YOUNG BLACK MALES; STRENGTHEN FAMILY VALUES, HOW TO BECOME AN ASSET TO SOCIETY; DETER YOUNG MEN FROM JOINING GANGS AND USING DRUGS; COMMUNITY SERV."
"BLACKBOARDS WITHOUT BORDERS ","Youth Development","Blackboards Without Borders is a nonprofit organization committed to advancing the education of children fleeing violence and instability in Latin America by cultivating access to sufficient educational resources and support."
"ABSW FOUNDATION INC ","Youth Development","To provide a structure and forum though which black social workers in related fields of social welfare and social service, including teachers in related fields, can exchange ideas, offer services and develop programs for the community at large."
"THE GENERATIONAL WEALTH FOUNDATION INC","Youth Development","The Generational Wealth Foundation Inc is an organization focused on fostering generational wealth principles amongst diverse youth, driving minority wealth accumulation and reducing the racial wealth gap"
"THE GENERATIONAL WEALTH FOUNDATIONINC","Youth Development","The Generational Wealth Foundation Inc is an organization focused on fostering generational wealth principles amongst diverse youth, driving minority wealth accumulation and reducing the racial wealth gap"
"CELLECTIVE ROWDIES SOCCER CLUB INC ","Youth Development","To promote sportsmanship and diversity as a public benefit to children who play and compete in soccer and who want to improve themselves, personally, in doing so. Access is granted to both genders and people of all creed, race and nationality."
"GREATER WORKS FOUNDATION INCORPORATED","Youth Development","Greater Works Foundation aims to empower communities by meeting the needs of citizens.  We promote unity, identity, and growth.  Programming centers youth development; cultural awareness and diversity; and a sense of empowerment for youth and adults."
"KINGS OF GLORY INC ","Youth Development","THE MISSION OF KINGS OF GLORY, INC. WILL BE TO DEVELOP MINORITY YOUTH ACADEMIC  AND SOCIAL CAPABILITIES WHILE EHANCING THEIR LEADERSHIP SKILLS, DECISION-MAKING SKILLS AND CRITICAL THINKING SKILLS. IN ADDITION, TO MENTOR, ENCOURAGE AND EMPOWER YOUNG."
"EMPRESS TRAINING INC ","Youth Development","To provide a 10 week training course that educates young African American girls/women about their heritage and the contributions of their predecessors to past and present society."
"BLACK SUNS RISING ","Youth Development","The specific purpose of the Corporation is to provide information and for the promotion of educational, social, and the economic welfare of young black boys in under-served communities.  To help them to develop, maintain, and improve the same to beco"
"WILLAMETTE VALLEY RUGBY CLUB INC ","Youth Development","The nonprofit provides indigent players the opportunity participate in regional sports competition with the purpose of heightening the communities awareness of the benefits of diversity and provides leadership training to the players."
"THE BOYS  VILLAGE INC ","Youth Development","To inspire and guide African American boys to pursue successful and productive futures through a village approach involving recreational activities, mentorships, civic responsibility, leadership , education, life skills, and career exploration."
"YOUNG BLACK AND LIT ","Youth Development","This organization is organized exclusively for charitable purposes.  The core purpose is to donate books that center, reflect and affirm Black children directly to youth/local organizations serving youth and to curate literary events for youth."
"LILLIANS LILIES ","Youth Development","To mentor and increase awareness of all at-risk students academic achievement with the intention targeting African American females.Making positive impact in the lives of young women, as we identify their weaknesses and capitalize on their strength."
"CHEER PHILADELPHIA ","Philanthropy, Voluntarism, and Grantmaking","Cheer Philadelphia's mission is to raise funds and spirits in our local LGBTQ+ community and beyond, and through our efforts to promote diversity, understanding and teamwork."
"FUNDING TRIBE FOUNDATION ","Philanthropy, Voluntarism, and Grantmaking","The specific purposes of the FUNDING TRIBE FOUNDATION are to increase the number of successful black leaders seeking to change the world. We develop global programs that equip leaders, inspire innovation, and allow us to share resources."
"THE EPPS FOUNDATION INC ","Philanthropy, Voluntarism, and Grantmaking","The Epps Foundation mission is to award deserving High School Seniors that will be attending Historically Black Colleges and Universities Scholarships"
"IMPACTIVE FOUNDATION ","Philanthropy, Voluntarism, and Grantmaking","The organization's mission is to work to solve the most challenging issues in the fields of education, arts and culture and social justice through programming and fundraising for high-impact organizations"
"BLACK MEN READ ","Philanthropy, Voluntarism, and Grantmaking","Black Men Read exists to ignite and empower communities of color by inspiring literacy. Through mentorship and advocacy, we aim to improve educational outcomes and foster a lifelong love of reading with a focus on Black men and boys."
"TOGETHER RICHARDSON PROSPERS INC ","Philanthropy, Voluntarism, and Grantmaking","Together Richardson (TR) exists to promote community in Richardson, TX through volunteerism and community events. For example, TR held a lunch to promote diversity in Richardson and to raise funds to build the area's only accessible playground."
"LIVE GIVE SAVE FOUNDATION INC ","Philanthropy, Voluntarism, and Grantmaking","Licensing and distribution of financial technology, content and services through mobile technology to underserved and developing markets, making financial literacy, inclusion and security accessible to all. Create new revenue streams for nonprofits."
"UAACC CHARITABLE FOUNDATION INC ","Philanthropy, Voluntarism, and Grantmaking","Educate minority businesses and business owners through workshops, seminars, and conferences for the betterment of community building"
"LANSING EVENTS COMMITTEE  INC ","Philanthropy, Voluntarism, and Grantmaking","Engage in activities and charitable fundraising support and sponsorship of community events, projects, activities and programs, support for public works and improvements, geared towards family-styled activities celebrating diversity and culture."
"FREEPRENUERS ","Philanthropy, Voluntarism, and Grantmaking","Our mission is to inspire young ladies to become future entrepreneurs, financial literacy, promote diversity, educate body image and the cycle of womanhood (from pre-teen to womanhood)."
"POLK COUNTY PEARLS FOUNDATION INC ","Philanthropy, Voluntarism, and Grantmaking","To engage the community in local and global issues that focus on:  economic development, education, social justice, environmental awareness, health issues and personal finance.  To operate exclusively for charitable and community purposes."
"FLYING TREE FOUNDATION ","Philanthropy, Voluntarism, and Grantmaking","The Mission of the Flying Tree Foundation shall be to promote the vitality, regeneration and diversity of living ecosystems around the world."
"MARGARET AND RAYMOND CHANG FAMILY FOUNDATION","Philanthropy, Voluntarism, and Grantmaking","The Foundation works to create a just, peaceful, and interconnected world through charitable grants to organizations that promote education, stewardship of the earth, the visual, literary, and performing arts, and social justice."
"BROWNGIRL RDH ","Philanthropy, Voluntarism, and Grantmaking","to provide aid for students in the dental hygiene field. who struggle financially we will sponsor students by raising money and or  purchasing equipment supplies uniforms and pay examination fees for any minority in  the dental hygiene field."
"MISSOURI DISABILITY EMPOWERMENT FOUNDATION","Philanthropy, Voluntarism, and Grantmaking","provide grants to service providers to support activities and programs that empower people with disabilities and promote inclusion in the community"
"THE MINORITY WHITE COAT FOUNDATION ","Philanthropy, Voluntarism, and Grantmaking","The mission of the Minority White Coat Foundation is to provide mentorship, scholarship, guidance, strategies, and seminars for minorities to become confident and exposed to interprofessionalism in healthcare."
"ANDY ABRAMS FOUNDATION ","Philanthropy, Voluntarism, and Grantmaking","To equip, prepare, and develop minority leaders for entrepreneurship in both profit and nonprofit sectors by providing scholarships for students, sponsoring workshops on entrepreneurship, and renovating property for discipleship to college students."
"MNCPA FOUNDATION ","Philanthropy, Voluntarism, and Grantmaking","Primary program is to provide education about the accounting profession and mentoring to high school students from minority groups under-represented in the CPA profession, and to support the students' enrollment in higher education after high school."
"THE XOCHITL PROJECT INC ","Philanthropy, Voluntarism, and Grantmaking","To foster cultural and linguistic diversity through service by engaging more minorities in volunteerism, philanthropy, and community service projects abroad."
"BLACKAT FOUNDATION ","Philanthropy, Voluntarism, and Grantmaking","The Blackat Foundation's primary purpose is to affect positive change by investing, collaborating, and consulting in the local Portland, Oregon community. The Corporation will leverage money, professional expertise, and influence to build community."
"THE LIONEL AND CATHLENE BUTLER OPPORTUNITY ENRICHMENT SCHOLARSHIP FUND","Philanthropy, Voluntarism, and Grantmaking","The primary mission of the organization is to award scholarships to deserving African American high school graduates who are entering institutions of higher learning, or continuing education in such institutions in these United States."
"GOD GIVE OPPORTUNITIES TO DISABILITY","Philanthropy, Voluntarism, and Grantmaking","Our main goal is to promote programs and incentives leading to the inclusion of persons with disabilities to mainstream society."
"THE METRO ATLANTA CLUB OF NANBPWC INC","Community Improvement, Capacity Building","Mission is to promote and protect the interests of African American business and professional women; to serve as a bridge for young people seeking to enter business and the professions; thru Leadership Entrepreneurship Technology Service Programs."
"GIRLSQUAD INC ","Community Improvement, Capacity Building","Girlsquad is a mentoring program designedto help minority girls and women agess 11 and up become better leaders, business owners, and innovators in their communities through educational workshops and community service."
"BLACK GIRLS CAN INCORPORATED ","Community Improvement, Capacity Building","Black Girls Can Inc. helps foster the next generation of black girls and women of color by providing educational programs within inner city communities. This includes mentoring, consultations and hands on workshops thus promoting entrepreneurship."
"MARY QUINNS MARK FOUNDATION ","Community Improvement, Capacity Building","To support the inclusion of individuals with developmental disabilities in their community. MQM PROMOTES INCLUSIVE EDUCATION, RECREATION AND SOCIAL OPPORTUNITIES. IT EXISTS TO FOSTER AN AWARENESS OF HOW INCLUSION IS NOT ONLY THE BEST PRACTICE BUT TH"
"FROM THE HOOD FOR THE HOOD INCORPORATED","Community Improvement, Capacity Building","From The Hood For The Hood is a Non-Profit Organization dedicated to developing, empowering and engaging young people and communities Worldwide, while also being a training catalyst for Social Justice and fighting against homelessness."
"SONOMA COUNTY BLACK FORUM ","Community Improvement, Capacity Building","Sonoma County Black Forum's mission is to advocate and improve education, health, social justice, financial literacy, and entrepreneurship in Sonoma County among our youth and residents of our community."
"ANSAR SERVICES OF GREATER WASHINGTON DC","Community Improvement, Capacity Building","As initial steps towards larger Youth Development and Entrepreneur Incubator Programs, Ansar will organize seminars in underserved communities featuring education about self-leadership principles and interactive sessions with Black entrepreneurs."
"ADRIAN M BROOKS SR FOUNDATION ","Community Improvement, Capacity Building","The Adrian M. Brooks Sr. foundation contributes to the spiritual and personal development of individuals in the community by promoting and supporting cultural diversity, education, and social justice."
"BRYANT CHARITABLE FOUNDATION INC ","Community Improvement, Capacity Building","OUR MISSION AT BRYANT CHARITABLE IS TO PROVIDE THE UNDERPRIVILEGED MINORITY PUBLIC AN OPPORTUNITY, AND A DREAM BY ASSISTING WITH AFFORDABLE HOUSING, AND BEING A MINORITY BUSINESS INCUBATOR FOR ASPIRING BUSINESSES AND ENTREPRENEURS."
"VILLAGE LIFE INITIATIVE ","Community Improvement, Capacity Building","We demonstrate, teach, assist, and organize people in suburban neighborhoods to implement sustainable living practices. Our mission is to improve economic self-sufficiency, health, social justice, environmental quality, and satisfaction."
"HELP MINISTRIES INC ","Community Improvement, Capacity Building","Help Ministries, Inc. uses our resources of time, talent and treasure to educate and socially benefit the underprivileged and under-served in our community through education, diversity training, and home repair training."
"CONSTITUTIONAL LIBERTY MOVEMENT INC ","Community Improvement, Capacity Building","The purpose of Constitutional Liberty Movement, Inc. is to operate for charitable purposes including the advancement of education, lessening the burdens of government and defending human and civil rights secured by law."
"GLEN ELLEN FORUM ","Community Improvement, Capacity Building","Work to preserve and enhance Glen Ellen while promoting community, diversity and inclusiveness."
"WHISPERING SOULS AFRICAN AMERICAN CEMETERY","Community Improvement, Capacity Building","To restore and preserve the Whispering Souls African American Cemetery."
"THE BLACK ACHIEVEMENT FUND ","Community Improvement, Capacity Building","The Black Achievement Fund is a community development fund. We offer neighborhood beautification projects, including planting trees, painting murals, cleaning up playgrounds, etc. We also offer parenting courses and job training and youth programs."
"CAMEROON COMMUNITY OF GEORGIA INC ","Community Improvement, Capacity Building","We promote unity and friendship within the Cameroonian community in the State of Georgia. We provide a forum for the sharing of information that is pertinent to the Cameroonian community and we promote the cultural diversity of the people of Cameroon"
"DIAMOND IN THE ROUGH WOMENS EMPOWERMENT INC","Community Improvement, Capacity Building","Womens empowerment serving minority communities, giving away free food, free gifts, encouraging, praying, offering awareness info and resources and offering hands on assistance."
"WEST ASHLEY UNITED ","Community Improvement, Capacity Building","West Ashley United works to engage all neighborhoods, businesses, and governmental agencies to enhance the many aspects of our suburban community with a commitment to communication, civic education, diversity, advocacy and conservation."
"PROUD  BLACK  FATHERS ","Community Improvement, Capacity Building","Our Mission Is To Enrich & Empower The Black Community By Educating, Uplifting, And Training Black Fathers Through Community Building, Outreach Events, And Family Dynamics Guidance."
"THE PENDULUM SOCIETY ","Community Improvement, Capacity Building","Relief of the poor, the underprivileged, advancement of education, maintaining great works, lessening the burdens of government , eliminating prejudice and discriminations in neighborhoods, defending civil rights, and combating community deterioratio"
"NATIONAL BLACK UNITED FRONT DISTRICT OF COLUMBIA CHAPTER","Community Improvement, Capacity Building","THE PURPOSE OF THE NATIONAL BLACK UNITED FRONT (NBUF) DC CHAPTER SHALL BE TO FACILITATE EDUCATIONAL PROGRAMS REGARDING AFRICAN AND AFRICAN AMERICAN HISTORY, ART, SCIENCE, ECONOMICS, CONFLICT RESOLUTION, VIOLENCE PREVENTION AND CULTURAL AWARENESS."
"BEAUTIFUL BLACK WOMEN ","Community Improvement, Capacity Building","Beautifull Black Women is organized and operated for the empowerment of women.  We are dedicated to the encouragement, support and empowerment of other black women both young and old by changing heir outlook on life, broadening their horizons and emp"
"PI EPSILON LAMBDA EDUCATIONAL FOUNDATION","Community Improvement, Capacity Building","Pi Epsilon Lambda Educational Foundation strives to meet the needs of young African American men in hopes to provide mentoring, scholarship, and college touring opportunities."
"GULF COAST EQUALITY COUNCIL ","Community Improvement, Capacity Building","Education of equality and inclusion, to include fundraising activities that will fund community activities and festivals geared towards the furtherance of our education regarding equality and inclusion."
"NATIONAL COALITION OF 100 BLACK WOMEN INC COLUMBIA SC CHAPTER","Community Improvement, Capacity Building","To address issue that affect women of African descent, to foster principles of equal right and opportunities, to promote awareness of black culture and to develop the potential of the membership for effective leadership."
"BETTER BROTHERS LOS ANGELES ","Community Improvement, Capacity Building","Better Brothers Los Angeles educates, inspires and connects the Black LGBTQ community. Our mission is to develop a stronger sense of community and overcome the challenges of cultural and and religious opposition to our orientation."
"MINORITY BUSINESS DEVELOPMENT ASSOCIATION","Community Improvement, Capacity Building","the Minority Business Development Association is to promote the establishing, betterment, and growth of Triad area minority owned and operated businesses; through networking, learning opportunities, mentoring and accountability partnerships"
"ORGANIZED NEIGHBORS OF EDGEWOOD INCORPORATED","Community Improvement, Capacity Building","The purpose of the Organized Neighbors of Edgewood is to provide an organized educational framework to promote, preserve, and enhance the quality of life and values in the neighborhood through advocacy, civic pride, stewardship, safety and diversity"
"COLORCODED INC ","Community Improvement, Capacity Building","colorcoded's primary mission is to increase the number of girls and minority and low income youth participating in computing through a combination of education and training, mentoring and placement in internships with local job partners."
"AFRICAN AMERICAN WOMENS EMPOWERMENTORGANIZATION  INC","Community Improvement, Capacity Building","We seek to empower African Americans who are business owners, emerging entrepreneurs, trades persons, & aspiring youth with skills & confidence to achieve in their areas of expertise.  We provide services & resources to women & men who  re-entry"
"BLACK WALL STREEET CHAMBER OF COMMERCE","Community Improvement, Capacity Building","Our Mission To create and build the quality of life and business opportunities for the African American community through business education, African American cultural values, legislative advocacy, and economic development."
"HEALTHY AFRICA PIONEERS LOGOS FOUNDATION","Community Improvement, Capacity Building","IMPROVE HEALTH AND WELL-BEING IN MINORITY COMMUNITIES. BRIDGING THE INTERNATIONAL PUBLIC HEALTH INITIATIVES. ELIMINATE HEALTH AND WEALTH DISPARITIES. HEALTH LITERACY OUTREACH, SUBSTANCE ABUSE, DOMESTIC VIOLENCE, BULLYING PREVENTION."
"EMPOWERING YOUR EVENTS INC ","Community Improvement, Capacity Building","My organization is to offer Free promotional hosting event services to the City of Oviedo and any other small minority business in Central, Florida.  Small minority businesses, motivational speakers and new entrepreneurs get free networking events."
"STATESVILLE BLACK CHAMBER OF COMMERCE","Community Improvement, Capacity Building","To raise the economic welfare, educational, and social levels of low income and underprivileged residents of black and other minority persons or groups."
"MABEE INCORPORATED ","Community Improvement, Capacity Building","MABEE focuses on Charitable, educational and scientific purposes under section 501(c)(3) of the internal revenue code or corresponding sections of any future federal codes to connect Black entrepreneurs to resources and opportunities for success."
"ROCHESTER ASSOCIATION OF BLACK JOURNALISTS INC","Community Improvement, Capacity Building","Rochester Association of Black Journalists brings together people of color who work in the media, or media-related jobs throughout the Greater Rochester, Western, NY area. We provide professional educational programs for journalists."
"BATON ROUGE METROPOLITAN BLACK CHAMBER OF COMMERCE","Community Improvement, Capacity Building","The mission of the Corporation is to bring awareness to African-American and minority businesses through education, entrepreneurial workshops, and networking opportunities. We believe that strong businesses build strong communities."
"LATINAS IN BUSINESS INC ","Community Improvement, Capacity Building","The purpose of this Corporation is to engage in fundraising activities to promote and support Latinas and other minority women business owners and entrepreneurs, their products and services through training, editorial services and promotional events."
"FUNDACION BUCARABON INC ","Community Improvement, Capacity Building","THIS PROJECT AIMS TO MEET THE NEED OF THE COMMUNITY, WITH PARTICULAR EMPHASIS ON THE EMPOWERMENT AND INCLUSION OF WOMEN, COMMUNITY AND SOCIAL WORLD."
"SISTERHOOD FOR THE GREATER GOOD ","Community Improvement, Capacity Building","We are organized for charitable and educational purposes. To provide free or low-cost business and health educational seminars to girls and women of color.  We do the Texas Black Women's Expo as well as host encouragement pageants for disadvantaged."
"AEBOYD FOUNDATION ","Community Improvement, Capacity Building","The Corporation was established on five guiding principles: community service, economic empowerment, educational empowerment, social justice, and creative and strategic partnerships with other charitable organizations."
"HEARTLAND WICHITA BLACK CHAMBER FOUNDATION","Community Improvement, Capacity Building","The Heartland Wichita Black Chamber of Commerce serves as an advocate for the creation, growth, and general welfare of African American businesses in the Wichita community. The HWBCC's mission is to advance the growth and success of the AA Businesses"
